id_operacion,fecha_separacion,proyecto,asesor,medio_captacion,canal_agrupado,tipo_unidad,dormitorios,precio_departamento,dias_en_tuberia,tiene_cuota_inicial,cambios_unidad,interacciones_ult_7d,descuento_pct,caida_30d
OP-000036,2025-12-03,Proyecto Bruma,Asesor Norte,sala de ventas,tradicional,departamento,3,641824.0,17,True,0,0,0.0491,0
OP-000037,2026-05-23,Proyecto Aurora,Asesor Centro,web,digital,departamento,2,445615.0,24,True,1,2,0.037,0
OP-000038,2025-08-12,Proyecto Cobalto,Asesor Este,portal inmobiliario,digital,departamento,3,608636.0,41,True,0,1,0.0138,1
OP-000039,2025-09-18,Proyecto Bruma,Asesora Oeste,sala de ventas,tradicional,departamento,1,389122.0,64,False,0,0,0.0299,0
OP-000040,2026-05-08,Proyecto Ébano,Asesora Sur,facebook,digital,departamento,1,371882.0,8,True,0,2,0.0025,0
OP-000041,2026-03-24,Proyecto Cobalto,Asesor Este,sala de ventas,tradicional,departamento,3,536578.0,34,False,0,1,0.0275,1
OP-000042,2025-08-30,Proyecto Granito,Asesor Este,sala de ventas,tradicional,departamento,2,487655.0,15,True,0,4,0.0191,0
OP-000043,2025-08-08,Proyecto Ébano,Asesor Este,whatsapp,digital,departamento,2,494743.0,29,False,1,4,0.0063,1
OP-000044,2026-02-15,Proyecto Bruma,Asesora Premium,referido,tradicional,departamento,3,623421.0,7,True,0,1,0.0362,1
OP-000045,2025-10-21,Proyecto Granito,Asesor Centro,facebook,digital,departamento,2,601244.0,48,True,2,0,0.0,0
OP-000046,2025-09-08,Proyecto Faro,Asesora Oeste,facebook,digital,departamento,2,445417.0,12,True,0,2,0.0037,0
OP-000047,2026-03-01,Proyecto Cobalto,Asesor Norte,whatsapp,digital,departamento,2,451146.0,42,True,1,3,0.0058,0
OP-000048,2026-02-14,Proyecto Bruma,Asesora Oeste,facebook,digital,departamento,1,337318.0,8,True,0,5,0.0159,0
OP-000049,2025-08-04,Proyecto Ébano,Asesora Sur,web,digital,departamento,1,436709.0,6,True,0,0,0.0484,1
OP-000050,2025-07-25,Proyecto Aurora,Asesor Este,facebook,digital,departamento,1,315954.0,19,True,1,3,0.0386,0
OP-000051,2025-12-14,Proyecto Bruma,Asesor Este,sala de ventas,tradicional,departamento,3,563365.0,26,True,0,2,0.0269,0
OP-000052,2025-01-01,Proyecto Aurora,Asesor Norte,web,digital,departamento,3,497340.0,82,False,0,1,0.026,0
OP-000053,2026-02-11,Proyecto Faro,Asesor Este,sala de ventas,tradicional,departamento,2,546587.0,25,True,0,2,0.0248,0
OP-000054,2025-09-17,Proyecto Ébano,Asesora Sur,web,digital,departamento,1,384123.0,9,True,0,6,0.0497,0
OP-000055,2026-03-31,Proyecto Ébano,Asesora Premium,facebook,digital,departamento,3,587028.0,38,True,0,2,0.0,0
OP-000056,2025-10-12,Proyecto Faro,Asesor Digital,feria,feria,departamento,3,620727.0,54,True,1,1,0.0389,1
OP-000057,2025-07-21,Proyecto Cobalto,Asesor Norte,feria,feria,departamento,2,545985.0,11,True,1,1,0.0159,0
OP-000058,2025-03-02,Proyecto Duna,Asesor Centro,web,digital,departamento,2,440731.0,41,False,0,2,0.0341,1
OP-000059,2025-01-01,Proyecto Aurora,Asesor Centro,sala de ventas,tradicional,departamento,3,528709.0,49,True,0,3,0.0341,0
OP-000060,2025-12-12,Proyecto Aurora,Asesor Este,web,digital,departamento,3,643874.0,38,True,0,0,0.0382,1
OP-000061,2025-04-14,Proyecto Ébano,Asesora Oeste,whatsapp,digital,departamento,3,627168.0,13,True,0,1,0.0535,0
OP-000062,2026-03-20,Proyecto Cobalto,Asesora Premium,sala de ventas,tradicional,departamento,2,520836.0,26,True,0,4,0.0003,0
OP-000063,2025-09-15,Proyecto Duna,Asesor Este,facebook,digital,departamento,1,403096.0,29,True,0,1,0.0431,0
OP-000064,2026-03-28,Proyecto Faro,Asesor Norte,feria,feria,departamento,2,518057.0,47,True,1,2,0.0239,0
OP-000065,2025-08-31,Proyecto Ébano,Asesor Este,sala de ventas,tradicional,departamento,2,488844.0,14,False,0,2,0.0167,1
OP-000066,2025-07-15,Proyecto Duna,Asesora Sur,web,digital,departamento,3,656736.0,42,False,1,4,0.0616,1
OP-000067,2025-03-15,Proyecto Duna,Asesor Este,feria,feria,departamento,1,444929.0,20,False,1,2,0.0376,0
OP-000068,2025-08-02,Proyecto Bruma,Asesora Sur,sala de ventas,tradicional,departamento,2,531630.0,17,True,0,0,0.0175,1
OP-000069,2026-03-03,Proyecto Aurora,Asesora Sur,referido,tradicional,departamento,3,509799.0,23,True,0,1,0.0422,0
OP-000070,2026-03-23,Proyecto Cobalto,Asesor Digital,referido,tradicional,departamento,3,670770.0,2,False,0,3,0.0242,0
OP-000071,2025-09-06,Proyecto Bruma,Asesor Norte,facebook,digital,departamento,2,452314.0,3,True,1,3,0.0172,0
OP-000072,2026-06-04,Proyecto Cobalto,Asesor Centro,portal inmobiliario,digital,departamento,3,557473.0,4,True,0,4,0.0141,0
OP-000073,2025-01-19,Proyecto Granito,Asesora Premium,sala de ventas,tradicional,departamento,1,407687.0,30,False,0,1,0.0305,0
OP-000074,2025-01-28,Proyecto Bruma,Asesor Centro,facebook,digital,departamento,2,517712.0,18,True,0,3,0.014,0
OP-000075,2025-02-01,Proyecto Aurora,Asesor Digital,portal inmobiliario,digital,departamento,1,374726.0,13,True,0,1,0.0278,0
OP-000076,2025-02-02,Proyecto Bruma,Asesor Norte,sala de ventas,tradicional,departamento,3,572954.0,22,False,0,1,0.041,0
OP-000077,2025-01-03,Proyecto Bruma,Asesor Este,feria,feria,departamento,3,633072.0,42,True,1,3,0.027,0
OP-000078,2025-01-29,Proyecto Ébano,Asesora Sur,sala de ventas,tradicional,departamento,1,400692.0,21,False,0,2,0.0606,1
OP-000079,2026-02-19,Proyecto Duna,Asesor Centro,referido,tradicional,departamento,1,349487.0,9,True,0,6,0.0252,0
OP-000080,2025-08-29,Proyecto Faro,Asesor Centro,sala de ventas,tradicional,departamento,2,481058.0,91,True,0,2,0.0493,1
OP-000081,2026-02-11,Proyecto Ébano,Asesor Digital,web,digital,departamento,1,415563.0,22,False,0,2,0.0426,1
OP-000082,2026-02-12,Proyecto Cobalto,Asesor Este,feria,feria,departamento,3,594462.0,50,False,0,2,0.0525,0
OP-000083,2025-12-26,Proyecto Faro,Asesora Sur,portal inmobiliario,digital,departamento,1,329347.0,38,False,0,0,0.0605,1
OP-000084,2025-02-18,Proyecto Aurora,Asesor Digital,whatsapp,digital,departamento,3,621594.0,16,True,0,4,0.0,0
OP-000085,2025-03-05,Proyecto Aurora,Asesor Centro,web,digital,departamento,2,433585.0,64,True,2,1,0.0298,0
OP-000086,2025-12-25,Proyecto Aurora,Asesora Premium,feria,feria,departamento,2,547567.0,14,True,2,2,0.023,0
OP-000087,2026-05-12,Proyecto Ébano,Asesora Oeste,referido,tradicional,departamento,1,315836.0,30,True,0,4,0.027,0
OP-000088,2025-03-31,Proyecto Cobalto,Asesora Oeste,portal inmobiliario,digital,departamento,3,589061.0,27,False,0,3,0.0178,0
OP-000089,2025-11-27,Proyecto Aurora,Asesor Este,web,digital,departamento,2,421501.0,29,False,0,2,0.0152,1
OP-000090,2025-01-18,Proyecto Duna,Asesora Premium,portal inmobiliario,digital,departamento,2,442352.0,57,True,1,1,0.0052,0
OP-000091,2025-04-14,Proyecto Aurora,Asesora Sur,sala de ventas,tradicional,departamento,2,433227.0,23,False,0,1,0.0268,0
OP-000092,2025-11-06,Proyecto Ébano,Asesor Digital,referido,tradicional,departamento,3,720381.0,26,True,0,1,0.0418,0
OP-000093,2025-12-07,Proyecto Cobalto,Asesora Sur,web,digital,departamento,3,606885.0,27,False,1,1,0.0161,1
OP-000094,2025-11-05,Proyecto Cobalto,Asesora Oeste,sala de ventas,tradicional,departamento,3,555456.0,80,False,2,1,0.0191,1
OP-000095,2025-08-24,Proyecto Bruma,Asesor Este,sala de ventas,tradicional,departamento,2,371425.0,47,False,1,2,0.0124,0
OP-000096,2025-05-28,Proyecto Ébano,Asesor Centro,whatsapp,digital,departamento,3,528325.0,6,True,0,1,0.0071,0
OP-000097,2026-02-20,Proyecto Cobalto,Asesor Centro,facebook,digital,departamento,2,454495.0,15,True,1,1,0.0207,1
OP-000098,2025-06-17,Proyecto Aurora,Asesor Digital,sala de ventas,tradicional,departamento,3,540147.0,24,False,0,3,0.0312,0
OP-000099,2026-01-06,Proyecto Aurora,Asesora Premium,facebook,digital,departamento,2,447677.0,56,True,1,1,0.0476,1
OP-000100,2025-07-04,Proyecto Horizonte,Asesora Sur,facebook,digital,departamento,2,419030.0,60,False,0,1,0.0035,0
OP-000101,2025-09-26,Proyecto Granito,Asesora Sur,web,digital,departamento,3,641958.0,22,True,0,0,0.0245,0
OP-000102,2026-04-29,Proyecto Ébano,Asesor Digital,portal inmobiliario,digital,departamento,3,679525.0,14,True,0,0,0.0462,0
OP-000103,2025-07-26,Proyecto Bruma,Asesora Oeste,whatsapp,digital,departamento,2,561256.0,20,True,0,3,0.0038,0
OP-000104,2026-03-27,Proyecto Horizonte,Asesor Norte,web,digital,departamento,2,439805.0,25,False,0,2,0.0478,0
OP-000105,2025-02-01,Proyecto Faro,Asesora Premium,web,digital,departamento,3,590923.0,19,False,1,2,0.0171,0
OP-000106,2025-10-02,Proyecto Ébano,Asesor Centro,facebook,digital,departamento,3,576017.0,50,True,0,3,0.0378,1
OP-000107,2025-09-24,Proyecto Cobalto,Asesor Norte,portal inmobiliario,digital,departamento,3,607015.0,17,True,0,0,0.0211,0
OP-000108,2026-05-16,Proyecto Bruma,Asesora Premium,sala de ventas,tradicional,departamento,1,289913.0,11,True,0,2,0.0333,0
OP-000109,2025-05-18,Proyecto Aurora,Asesor Centro,sala de ventas,tradicional,departamento,2,552524.0,19,False,0,0,0.054,0
OP-000110,2025-10-30,Proyecto Granito,Asesor Centro,whatsapp,digital,departamento,3,649394.0,28,False,0,1,0.0228,0
OP-000111,2025-11-02,Proyecto Cobalto,Asesor Digital,portal inmobiliario,digital,departamento,3,592227.0,51,False,0,1,0.0429,0
OP-000112,2025-02-22,Proyecto Bruma,Asesora Oeste,facebook,digital,departamento,3,674599.0,11,True,0,3,0.0299,0
OP-000113,2026-06-02,Proyecto Bruma,Asesora Oeste,web,digital,departamento,2,471117.0,28,False,0,2,0.0109,0
OP-000114,2025-09-11,Proyecto Duna,Asesor Centro,facebook,digital,departamento,2,518017.0,29,True,0,3,0.0224,0
OP-000115,2025-08-15,Proyecto Aurora,Asesora Sur,facebook,digital,departamento,2,418706.0,33,False,0,0,0.0213,0
OP-000116,2026-04-11,Proyecto Granito,Asesora Sur,facebook,digital,departamento,3,571622.0,17,True,0,1,0.0,1
OP-000117,2025-02-05,Proyecto Faro,Asesora Premium,sala de ventas,tradicional,departamento,2,486430.0,32,True,0,2,0.0333,0
OP-000118,2025-12-11,Proyecto Ébano,Asesora Sur,referido,tradicional,departamento,3,743284.0,38,True,0,1,0.0368,0
OP-000119,2025-01-11,Proyecto Cobalto,Asesora Oeste,facebook,digital,departamento,3,633816.0,17,False,0,3,0.0396,0
OP-000120,2026-05-11,Proyecto Ébano,Asesora Sur,referido,tradicional,departamento,3,638099.0,26,True,0,1,0.0507,0
OP-000121,2026-02-26,Proyecto Duna,Asesora Sur,sala de ventas,tradicional,departamento,2,442299.0,20,True,0,2,0.0422,0
OP-000122,2025-10-04,Proyecto Ébano,Asesor Centro,portal inmobiliario,digital,departamento,3,673119.0,13,True,0,1,0.0141,0
OP-000123,2025-07-24,Proyecto Aurora,Asesora Premium,web,digital,departamento,1,270327.0,8,False,0,2,0.018,0
OP-000124,2026-04-20,Proyecto Cobalto,Asesora Oeste,portal inmobiliario,digital,departamento,1,282812.0,14,True,0,1,0.0401,0
OP-000125,2025-05-08,Proyecto Aurora,Asesor Norte,sala de ventas,tradicional,departamento,2,429261.0,15,True,0,4,0.032,1
OP-000126,2026-02-03,Proyecto Duna,Asesora Sur,web,digital,departamento,1,488497.0,8,True,0,4,0.0247,0
OP-000127,2025-08-04,Proyecto Bruma,Asesora Sur,portal inmobiliario,digital,departamento,3,691384.0,31,True,0,3,0.0093,1
OP-000128,2026-03-04,Proyecto Aurora,Asesor Digital,facebook,digital,departamento,3,550182.0,40,True,0,2,0.0154,0
OP-000129,2026-01-25,Proyecto Aurora,Asesor Este,sala de ventas,tradicional,departamento,1,307919.0,20,True,1,3,0.0355,0
OP-000130,2026-05-31,Proyecto Duna,Asesor Este,facebook,digital,departamento,3,520780.0,22,True,0,1,0.0,1
OP-000131,2025-11-11,Proyecto Aurora,Asesor Norte,facebook,digital,departamento,2,464292.0,16,True,1,0,0.0,0
OP-000132,2025-06-07,Proyecto Horizonte,Asesora Oeste,facebook,digital,departamento,3,667911.0,21,True,0,3,0.0375,0
OP-000133,2026-04-07,Proyecto Duna,Asesor Digital,facebook,digital,departamento,3,654426.0,32,True,0,3,0.0154,0
OP-000134,2025-11-23,Proyecto Cobalto,Asesor Este,facebook,digital,departamento,2,534089.0,28,True,1,2,0.0334,0
OP-000135,2026-01-01,Proyecto Duna,Asesor Centro,web,digital,departamento,1,370142.0,21,True,0,3,0.0534,0
OP-000136,2025-05-14,Proyecto Aurora,Asesora Sur,sala de ventas,tradicional,departamento,1,375582.0,15,True,0,1,0.0068,0
OP-000137,2025-10-03,Proyecto Horizonte,Asesora Sur,facebook,digital,departamento,2,505465.0,37,True,0,3,0.0,0
OP-000138,2026-03-21,Proyecto Duna,Asesora Premium,web,digital,departamento,3,640537.0,16,False,0,0,0.02,1
OP-000139,2025-07-10,Proyecto Faro,Asesor Norte,sala de ventas,tradicional,departamento,2,492102.0,8,False,0,1,0.0127,0
OP-000140,2025-11-01,Proyecto Aurora,Asesora Oeste,sala de ventas,tradicional,departamento,2,485270.0,25,True,0,2,0.0245,0
OP-000141,2025-04-18,Proyecto Duna,Asesor Este,sala de ventas,tradicional,departamento,1,401818.0,5,True,0,5,0.0347,0
OP-000142,2025-04-02,Proyecto Duna,Asesor Norte,sala de ventas,tradicional,departamento,3,614784.0,27,False,0,2,0.0309,0
OP-000143,2026-02-05,Proyecto Horizonte,Asesora Oeste,referido,tradicional,departamento,2,587700.0,29,True,0,1,0.0258,0
OP-000144,2025-08-08,Proyecto Duna,Asesor Digital,sala de ventas,tradicional,departamento,3,524628.0,14,True,0,3,0.044,0
OP-000145,2025-04-17,Proyecto Cobalto,Asesor Norte,facebook,digital,departamento,3,540430.0,16,True,0,1,0.0371,0
OP-000146,2025-04-05,Proyecto Bruma,Asesora Premium,whatsapp,digital,departamento,1,342147.0,41,True,0,2,0.0217,0
OP-000147,2025-03-06,Proyecto Bruma,Asesora Oeste,portal inmobiliario,digital,departamento,1,277621.0,75,True,0,4,0.0364,1
OP-000148,2025-08-27,Proyecto Duna,Asesora Premium,sala de ventas,tradicional,departamento,2,473622.0,23,True,0,0,0.0,0
OP-000149,2025-06-11,Proyecto Cobalto,Asesor Norte,facebook,digital,departamento,2,463395.0,14,False,0,0,0.0441,1
OP-000150,2025-02-10,Proyecto Aurora,Asesor Digital,facebook,digital,departamento,3,647033.0,29,True,0,3,0.0254,1
OP-000151,2025-09-08,Proyecto Faro,Asesor Norte,portal inmobiliario,digital,departamento,3,642839.0,20,True,0,1,0.0034,0
OP-000152,2026-05-17,Proyecto Granito,Asesor Digital,feria,feria,departamento,1,473619.0,28,False,0,1,0.0175,1
OP-000153,2026-05-25,Proyecto Aurora,Asesor Centro,sala de ventas,tradicional,departamento,2,476592.0,25,True,0,3,0.0437,0
OP-000154,2025-11-07,Proyecto Duna,Asesor Este,sala de ventas,tradicional,departamento,1,351538.0,25,True,0,2,0.0112,1
OP-000155,2025-10-28,Proyecto Aurora,Asesor Norte,facebook,digital,departamento,1,352354.0,3,False,0,3,0.0324,1
OP-000156,2026-05-31,Proyecto Ébano,Asesor Centro,portal inmobiliario,digital,departamento,3,663118.0,16,True,0,3,0.0408,0
OP-000157,2026-01-29,Proyecto Bruma,Asesor Norte,portal inmobiliario,digital,departamento,3,652637.0,14,True,0,4,0.0254,0
OP-000158,2025-04-01,Proyecto Ébano,Asesor Centro,sala de ventas,tradicional,departamento,3,615723.0,14,True,0,3,0.0094,0
OP-000159,2025-10-01,Proyecto Ébano,Asesora Premium,referido,tradicional,departamento,1,302387.0,34,True,0,1,0.0238,0
OP-000160,2025-07-19,Proyecto Faro,Asesora Sur,sala de ventas,tradicional,departamento,2,425521.0,9,False,0,5,0.0,1
OP-000161,2025-03-17,Proyecto Aurora,Asesora Sur,web,digital,departamento,2,442047.0,3,True,0,4,0.0162,0
OP-000162,2026-04-30,Proyecto Granito,Asesora Sur,portal inmobiliario,digital,departamento,3,518415.0,14,False,1,0,0.0051,1
OP-000163,2025-11-03,Proyecto Bruma,Asesora Sur,facebook,digital,departamento,2,570731.0,12,True,1,1,0.0242,1
OP-000164,2025-12-26,Proyecto Aurora,Asesor Norte,sala de ventas,tradicional,departamento,3,607831.0,23,False,1,2,0.0022,0
OP-000165,2026-02-16,Proyecto Duna,Asesora Sur,referido,tradicional,departamento,1,346038.0,12,True,0,0,0.0265,0
OP-000166,2025-02-06,Proyecto Cobalto,Asesor Centro,facebook,digital,departamento,2,422969.0,18,False,0,3,0.0454,1
OP-000167,2025-06-14,Proyecto Faro,Asesor Este,feria,feria,departamento,3,691547.0,16,True,0,3,0.0465,0
OP-000168,2026-04-05,Proyecto Faro,Asesora Premium,facebook,digital,departamento,2,458750.0,49,False,0,3,0.0026,1
OP-000169,2025-04-16,Proyecto Bruma,Asesora Premium,portal inmobiliario,digital,departamento,2,415998.0,12,False,1,3,0.013,0
OP-000170,2025-04-09,Proyecto Horizonte,Asesora Premium,facebook,digital,departamento,2,501873.0,33,True,0,1,0.0403,0
OP-000171,2025-11-17,Proyecto Bruma,Asesora Oeste,sala de ventas,tradicional,departamento,3,593275.0,21,True,0,0,0.0377,0
OP-000172,2025-05-17,Proyecto Duna,Asesor Este,facebook,digital,departamento,1,415144.0,42,True,0,1,0.0139,0
OP-000173,2026-03-09,Proyecto Bruma,Asesor Digital,sala de ventas,tradicional,departamento,3,652597.0,59,False,0,3,0.0162,1
OP-000174,2026-01-16,Proyecto Horizonte,Asesora Sur,facebook,digital,departamento,2,601473.0,21,True,0,3,0.0265,0
OP-000175,2026-02-05,Proyecto Aurora,Asesora Oeste,web,digital,departamento,2,460043.0,5,True,0,8,0.0,0
OP-000176,2026-01-05,Proyecto Aurora,Asesora Oeste,sala de ventas,tradicional,departamento,2,516129.0,9,False,0,3,0.0345,0
OP-000177,2025-03-19,Proyecto Cobalto,Asesora Premium,sala de ventas,tradicional,departamento,1,332095.0,7,False,0,4,0.0445,0
OP-000178,2025-12-10,Proyecto Horizonte,Asesora Oeste,sala de ventas,tradicional,departamento,3,558852.0,16,True,0,1,0.018,0
OP-000179,2025-03-31,Proyecto Granito,Asesora Premium,sala de ventas,tradicional,departamento,3,610088.0,14,True,0,2,0.0,0
OP-000180,2025-01-03,Proyecto Faro,Asesor Digital,portal inmobiliario,digital,departamento,3,590656.0,26,True,0,3,0.0504,0
OP-000181,2026-05-23,Proyecto Granito,Asesor Este,whatsapp,digital,departamento,3,612241.0,39,False,0,2,0.0289,0
OP-000182,2025-05-10,Proyecto Granito,Asesor Digital,sala de ventas,tradicional,departamento,2,479234.0,5,False,0,3,0.0378,0
OP-000183,2025-12-29,Proyecto Duna,Asesora Sur,feria,feria,departamento,2,470639.0,22,True,1,2,0.0012,0
OP-000184,2025-06-29,Proyecto Bruma,Asesor Digital,web,digital,departamento,3,621101.0,12,True,0,2,0.0013,1
OP-000185,2025-12-31,Proyecto Faro,Asesora Sur,whatsapp,digital,departamento,1,499339.0,23,True,0,0,0.0325,0
OP-000186,2025-07-28,Proyecto Ébano,Asesora Premium,facebook,digital,departamento,3,528106.0,16,True,0,0,0.0435,0
OP-000187,2025-08-17,Proyecto Cobalto,Asesor Este,facebook,digital,departamento,2,413175.0,35,False,0,4,0.0047,1
OP-000188,2025-02-08,Proyecto Aurora,Asesor Digital,facebook,digital,departamento,3,531470.0,9,True,1,5,0.0232,0
OP-000189,2025-08-30,Proyecto Faro,Asesor Norte,portal inmobiliario,digital,departamento,2,562116.0,13,True,0,0,0.0,1
OP-000190,2025-12-18,Proyecto Bruma,Asesora Oeste,web,digital,departamento,2,460728.0,20,True,0,5,0.0124,0
OP-000191,2026-01-07,Proyecto Horizonte,Asesor Digital,referido,tradicional,departamento,1,389174.0,17,True,2,3,0.0204,0
OP-000192,2026-04-09,Proyecto Bruma,Asesor Norte,sala de ventas,tradicional,departamento,2,511420.0,20,True,0,1,0.0338,0
OP-000193,2025-11-03,Proyecto Aurora,Asesora Sur,web,digital,departamento,2,512601.0,6,True,0,1,0.0,0
OP-000194,2026-05-30,Proyecto Granito,Asesor Norte,portal inmobiliario,digital,departamento,1,415968.0,54,True,0,1,0.0488,0
OP-000195,2025-11-23,Proyecto Aurora,Asesor Este,facebook,digital,departamento,1,300108.0,15,True,0,1,0.0219,0
OP-000196,2026-02-19,Proyecto Aurora,Asesor Este,web,digital,departamento,2,474865.0,10,False,0,0,0.0483,0
OP-000197,2025-03-19,Proyecto Duna,Asesor Centro,facebook,digital,departamento,2,483170.0,20,False,0,4,0.0376,0
OP-000198,2025-04-16,Proyecto Granito,Asesora Sur,referido,tradicional,departamento,3,633744.0,22,True,0,5,0.0403,0
OP-000199,2025-11-02,Proyecto Bruma,Asesora Sur,referido,tradicional,departamento,1,328818.0,69,True,1,0,0.0614,0
OP-000200,2025-09-23,Proyecto Bruma,Asesora Sur,feria,feria,departamento,2,522874.0,44,False,0,0,0.0109,0
OP-000201,2025-09-14,Proyecto Faro,Asesor Digital,whatsapp,digital,departamento,1,418743.0,17,True,1,3,0.0274,0
OP-000202,2026-04-22,Proyecto Horizonte,Asesor Digital,facebook,digital,departamento,2,600964.0,61,False,2,1,0.0072,0
OP-000203,2025-09-05,Proyecto Duna,Asesora Sur,facebook,digital,departamento,2,569498.0,54,True,0,4,0.0232,0
OP-000204,2025-02-04,Proyecto Aurora,Asesora Sur,facebook,digital,departamento,2,485244.0,10,True,0,3,0.038,0
OP-000205,2025-09-30,Proyecto Aurora,Asesor Norte,sala de ventas,tradicional,departamento,2,432144.0,79,True,0,3,0.0453,0
OP-000206,2025-04-29,Proyecto Bruma,Asesor Digital,facebook,digital,departamento,2,529218.0,15,False,1,3,0.0181,0
OP-000207,2025-01-18,Proyecto Aurora,Asesor Centro,sala de ventas,tradicional,departamento,1,370612.0,24,True,0,2,0.0033,0
OP-000208,2025-05-18,Proyecto Ébano,Asesora Premium,facebook,digital,departamento,2,651185.0,48,True,2,2,0.0263,0
OP-000209,2025-01-01,Proyecto Aurora,Asesor Este,sala de ventas,tradicional,departamento,2,477056.0,5,False,0,1,0.0097,0
OP-000210,2025-11-13,Proyecto Duna,Asesor Centro,facebook,digital,departamento,2,534373.0,20,False,1,3,0.0146,0
